"","CollecName","CollecInits","IDNo.","County","State","Date.d.m.y.","Genus","Epithet","Abbrev.","Sex","TotalL","TailL","FootL","EarL","Mass","Skin.","Skull.","Other.info","Skull.Skin.or.Skull.Tag.Together","Catalogue..","year"
"61","G.I.Tamasik","GIT",4,"Chittenden","VT",1997-04-23,"Peromyscus","leucopus","PELE","M",169,80,20,13,"","X","X","uvm lab colony","",NA,1997
"62","G.P.Olsen","GPO",1,"","",1995-09-29,"Peromyscus","leucopus","PELE","M",164,84,20,13,"","X","X","UVM lab colony","",NA,1995
"63","I.Cobban","IC ",1,"Chittenden","VT",1997-02-25,"Peromyscus","leucopus","PELE","F",160,71,20,12,"","X","X","UVM lab colony","",NA,1997
"64","I.Cobban","IC ",2,"Chittenden","VT",1997-04-15,"Peromyscus","leucopus","PELE","F",167,77,20,17,"","X","X","UVM lab colony","",NA,1997
"65","I.Cobban","IC ",3,"Chittenden","VT",1997-04-17,"Peromyscus","leucopus","PELE","M",180,95,21,17,"","X","X","UVM lab colony","",NA,1997
"66","I.Cobban","IC ",4,"Chittenden","VT",1997-04-22,"Peromyscus","leucopus","PELE","F",167,77,20,17,"","X","X","UVM lab colony","",NA,1997
"67","I.Cobban","IC ",5,"Chittenden","VT",1997-04-29,"Peromyscus","leucopus","PELE","M",167,75,20,17,"","X","X","UVM lab colony","",NA,1997
"68","I.Cobban","IC ",6,"Chittenden","VT",1997-04-30,"Peromyscus","leucopus","PELE","F",169,21,20,17,"","X","X","Uvm lab colony","",NA,1997
"69","J.A.Bates","JAB",1,"Chittenden","VT",1997-03-12,"Peromyscus","leucopus","PELE","F",160,29,19,21,"","X","X","UVM lab colony","",NA,1997
"70","J.A.Bates","JAB",4,"Chittenden","VT",1997-05-01,"Peromyscus","leucopus","PELE","F",180,90,20,22,"","X","X","UVM lab colony","",NA,1997
"71","J.A.McKinnon","JAM",1,"","",1980-06-19,"Peromyscus","maniculatus","PEMA","M",154,56,20,18,"","","X","UVM lab colony; teaching collection","",NA,1980
"72","J.A.McKinnon","JAM",3,"","",1980-07-10,"Peromyscus","maniculatus","PEMA","M",146,64,19,18,"","X","X","UVM lab colony; teaching collection","",NA,1980
"73","J.D.Schmidt","JDS",2,"","",1994-11-17,"Peromyscus","leucopus","PELE","F",166,81,21,15,"","X","X","UVM lab colony 700","",NA,1994
"74","J.D.Schmidt","JDS",3,"","",1994-12-01,"Peromyscus","leucopus","PELE","F",200,85,19,14,"","X","X","UVM lab colony 436","",NA,1994
"75","J.E.Arrigoni","JEA",1,"Chittenden","VT",1997-03-12,"Peromyscus","leucopus","PELE","M",177,72,21,18,"","X","X","UVM lab colony  ","",NA,1997
"76","J.E.Arrigoni","JEA",3,"Chittenden","VT",1997-05-01,"Peromsycus","leucopus","PELE","M",159,70,20,16,"","X","X","UVM lab colony  ","",NA,1997
"77","J.F.Wechsler","JFW",1,"","",1993-05-24,"Peromyscus","leucopus","PELE","F",150,70,15,12,"","X","X","UVM lab colony 572","",NA,1993
"78","J.Feinberg","JF",3,"","",1994-12-01,"Peromuscus","leucopus","PELE","M",150,77,18,17,"","X","X","UVM lab colony 702","",NA,1994
"79","J.L.Cyr","JLC",4,"","",1994-12-09,"Peromyscus","leucopus","PELE","M",161,72,23,12,"","X","X","UVM lab colony","",NA,1994
"80","J.L.Patrick","JLP",1,"","",1980-06-20,"Peromyscus","maniculatus","PEMA","F",155,69,18,15,"","X","X","UVM lab colony; 5 embryos","",NA,1980
"81","J.L.Patrick","JLP",2,"","",1980-06-30,"Peromyscus","maniculatus","PEMA","M",138,58,18,16,"","X","X","UVM lab colony","",NA,1980
"82","J.L.Porter","JLP",3,"Chittenden","VT",1976-10-03,"Microtus","pennsylvanicus","MIPE","M",142,40,22,13,"","x","x","UVM Lab Colony","",NA,1976
"83","J.M.May","JMM",1,"","VT",1981-10-25,"Microtus","pennsylvanicus","MIPE","M",170,53,22,10,"","x","x","UVM lab colony","",NA,1981
"84","J.M.Simmons","JMS",1,"Chittenden","VT",1997-03-11,"Peromyscus","leucopus","PELE","M",167,77,19,17,"","X","X","uvm lab colony","",NA,1997
"85","J.M.Simmons","JMS",2,"Chittenden","VT",1997-04-30,"Peromyscus","leucopus","PELE","F",150,75,19,14,"","X","X","uvm lab colony","",NA,1997
"86","J.M.Simmons","JMS",3,"Chittenden","VT",1997-05-01,"Peromyscus","leucopus","PELE","M",115,34,19,17,"","X","X","uvm lab colony","",NA,1997
"87","J.T.Clifford","JTC",1,"","",1980-06-24,"Peromyscus","maniculatus","PEMA","F",152,64,20,15,"","","X","UVM lab colony; teaching collection","",NA,1980
"88","J.T.Clifford","JTC",2,"","",1980-07-01,"Peromyscus","maniculatus","PEMA","F",140,55,20,15,"","","X","UVM lab colony; teaching collection","",NA,1980
"89","J.T.Clifford","JTC",3,"","",1980-07-02,"Peromyscus","maniculatus","PEMA","F",135,50,20,13,"","","X","UVM lab colony; teaching collection","",NA,1980
"90","J.T.Driscoll","JTD",1,"","",1980-06-19,"Peromyscus","maniculatus","PEMA","M",170,75,22,17,"","","X","UVM lab colony ","",NA,1980
